mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.08383536338806152,0.020102663614991953,0.01699509620666504,0.008072319291386095,3,2,"{'max_depth': 3, 'min_samples_split': 2}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.05006418228149414,0.004695182047104098,0.0013962745666503905,0.0004871765367365175,3,4,"{'max_depth': 3, 'min_samples_split': 4}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.05046138763427734,0.0036578349739770457,0.001197671890258789,0.00039906588659238625,3,6,"{'max_depth': 3, 'min_samples_split': 6}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.04647369384765625,0.004442357700912091,0.001397085189819336,0.0004887529326376445,3,8,"{'max_depth': 3, 'min_samples_split': 8}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.049661779403686525,0.002222203889650367,0.0009979724884033204,8.844011779304223e-07,3,10,"{'max_depth': 3, 'min_samples_split': 10}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.048068809509277347,0.002632415964454742,0.0013968467712402344,0.0004883644891732818,3,12,"{'max_depth': 3, 'min_samples_split': 12}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.04986453056335449,0.00218507318476848,0.0011976242065429687,0.00039897014893265496,3,14,"{'max_depth': 3, 'min_samples_split': 14}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.05126399993896484,0.0018584515293264253,0.001396512985229492,0.0004910713579776259,3,16,"{'max_depth': 3, 'min_samples_split': 16}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.04886178970336914,0.00243823761504724,0.0012027263641357423,0.0003967103644491952,3,18,"{'max_depth': 3, 'min_samples_split': 18}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.04867444038391113,0.003698795387818441,0.001396942138671875,0.0004899582757768257,3,20,"{'max_depth': 3, 'min_samples_split': 20}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.048857259750366214,0.004052605379160113,0.00119781494140625,0.0003981615397665266,3,22,"{'max_depth': 3, 'min_samples_split': 22}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.044685888290405276,0.0019323533489550371,0.0011912345886230468,0.00040148220805609876,3,24,"{'max_depth': 3, 'min_samples_split': 24}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.04827098846435547,0.0035871288609289997,0.001391124725341797,0.0004808352088512969,3,26,"{'max_depth': 3, 'min_samples_split': 26}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.045078468322753903,0.0034779242195154382,0.0009980201721191406,4.264961199760036e-07,3,28,"{'max_depth': 3, 'min_samples_split': 28}",-0.20039012246741103,-0.20512039153122763,-0.2051823891787311,-0.20518398021468473,-0.20276431216749075,-0.20372823911190907,0.0019101832802228193,67
0.09974102973937989,0.0035747211796791564,0.0013968944549560547,0.0004882276261582377,8,2,"{'max_depth': 8, 'min_samples_split': 2}",-0.18525140636303442,-0.18992693429236518,-0.1869492144505835,-0.18549409664367483,-0.18879975555101783,-0.18728428146013515,0.001829201380396229,14
0.10233130455017089,0.002639180203370433,0.0015949726104736329,0.00048741755522674216,8,4,"{'max_depth': 8, 'min_samples_split': 4}",-0.1852844884841406,-0.1896890470717608,-0.18590903063567502,-0.18519688049218613,-0.18894717395057395,-0.1870053241268673,0.0019186845853712015,10
0.09793715476989746,0.005900081304575545,0.0013971328735351562,0.00048803317578058195,8,6,"{'max_depth': 8, 'min_samples_split': 6}",-0.18510079055931983,-0.18942801206154486,-0.18681375311401285,-0.18601840665273553,-0.18903530958853018,-0.18727925439522866,0.0016883733300073233,12
0.10213074684143067,0.006133507522863628,0.0015953540802001952,0.000487916608159334,8,8,"{'max_depth': 8, 'min_samples_split': 8}",-0.1856224667587525,-0.1908161065755003,-0.18662259728387057,-0.18486743931542798,-0.18848176361576127,-0.18728207470986252,0.0021423495425871297,13
