mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
2.7988259315490724,0.2389552775192691,0.13839941024780272,0.016907729778132374,3,2,"{'max_depth': 3, 'min_samples_leaf': 2}",-0.18729721081764536,-0.19039071927105802,-0.18681811854432187,-0.18794562171173207,-0.18615325458900644,-0.18772098498675274,0.001458113422631632,59
2.7724225521087646,0.1538449053185029,0.14222364425659179,0.02840093009019068,3,7,"{'max_depth': 3, 'min_samples_leaf': 7}",-0.18623657117052175,-0.1900612187326959,-0.18697200511722137,-0.18733072567581485,-0.18549022516735464,-0.1872181491727217,0.0015559898219901925,55
2.7066159725189207,0.21458021496542581,0.15560026168823243,0.009064798615621124,3,12,"{'max_depth': 3, 'min_samples_leaf': 12}",-0.18631769350253083,-0.1900397479489024,-0.1876753464440267,-0.1877671872736332,-0.18569691337377267,-0.18749937770857317,0.0014967580404315801,57
2.4876165866851805,0.1856252094467702,0.1513983726501465,0.01783788459813313,3,17,"{'max_depth': 3, 'min_samples_leaf': 17}",-0.186384516505461,-0.1900565153894763,-0.18830287663261258,-0.1879960791193553,-0.18558178547876245,-0.18766435462513353,0.0015630268378083864,58
2.629418420791626,0.03537197419167729,0.14739680290222168,0.013141647213074507,3,22,"{'max_depth': 3, 'min_samples_leaf': 22}",-0.18661622883460016,-0.18965322023846895,-0.18673646172191144,-0.1879951971926118,-0.18607506862676926,-0.18741523532287233,0.001283754181749447,56
2.6210175514221192,0.27020417110553324,0.14960274696350098,0.01835903675588199,3,27,"{'max_depth': 3, 'min_samples_leaf': 27}",-0.18642604008205907,-0.1902214902803645,-0.18650434708381955,-0.18808918646146144,-0.18787517340787835,-0.1878232474631166,0.0013796140867106833,60
4.306627798080444,1.1989212377321503,0.10501375198364257,0.029425843518636453,8,2,"{'max_depth': 8, 'min_samples_leaf': 2}",-0.17897992266443863,-0.18077526400454552,-0.1818172301143903,-0.17855013902259598,-0.18079413620814289,-0.18018333840282266,0.0012254469924930745,53
4.378427743911743,1.2283677525794383,0.11179919242858886,0.030748895126667872,8,7,"{'max_depth': 8, 'min_samples_leaf': 7}",-0.17777767278207143,-0.18144039745846585,-0.18202713852555638,-0.17816368470587848,-0.17986229260140082,-0.1798542372146746,0.0016975015135675346,45
4.452435445785523,0.564833070579226,0.1151918888092041,0.017706573013018284,8,12,"{'max_depth': 8, 'min_samples_leaf': 12}",-0.17636583780565643,-0.1797672627679157,-0.18122054642470292,-0.17935112067886588,-0.18012189965363137,-0.17936533346615446,0.0016231408381211282,27
4.2088228225708,0.7614503912212084,0.1088017463684082,0.01682260924641181,8,17,"{'max_depth': 8, 'min_samples_leaf': 17}",-0.17768733857070793,-0.18212870393652628,-0.179998383666542,-0.17990863510651114,-0.17894813705998877,-0.1797342396680552,0.001458863007043902,38
4.70583143234253,1.0802573946360186,0.13161163330078124,0.03526423946002856,8,22,"{'max_depth': 8, 'min_samples_leaf': 22}",-0.17698436400892414,-0.181319469127531,-0.1785541745085726,-0.1792655745975986,-0.17998553925261482,-0.17922182429904826,0.0014448026327487954,17
4.097442722320556,0.8961848061605607,0.11639552116394043,0.022936325368748435,8,27,"{'max_depth': 8, 'min_samples_leaf': 27}",-0.17736099605891298,-0.1815395430513517,-0.18096684511912853,-0.17952213986941248,-0.18092405268419987,-0.1800627153566011,0.0015054488819109641,46
3.9020687103271485,0.6508560145615722,0.09275674819946289,0.013139344105846749,13,2,"{'max_depth': 13, 'min_samples_leaf': 2}",-0.17916139394398162,-0.18212090611940535,-0.18149724424541588,-0.17943990978448743,-0.18082111593206945,-0.18060811400507193,0.0011473589170386679,54
4.417823791503906,1.7797755323528937,0.10239911079406738,0.043339374132408154,13,7,"{'max_depth': 13, 'min_samples_leaf': 7}",-0.17936090514322725,-0.17978932274713308,-0.18187398058182086,-0.1772415995900499,-0.17993698888614532,-0.1796405593896753,0.0014786064941152972,36
4.390631675720215,0.5540616059201563,0.09499902725219726,0.01573248305963508,13,12,"{'max_depth': 13, 'min_samples_leaf': 12}",-0.17742260684076977,-0.18003055504411097,-0.18101052331284267,-0.17954862956866527,-0.17971483497067975,-0.17954542994741368,0.0011761744063237263,35
4.438031387329102,1.1434503363774289,0.12379627227783203,0.028547822197271096,13,17,"{'max_depth': 13, 'min_samples_leaf': 17}",-0.17563306667693265,-0.17919966194048806,-0.18004105451893845,-0.17822711463115254,-0.1810704104744815,-0.17883426164839863,0.0018550743771680127,2
4.696231365203857,0.5998224277457881,0.11460390090942382,0.01348483148940625,13,22,"{'max_depth': 13, 'min_samples_leaf': 22}",-0.17619038857368305,-0.17910587666746974,-0.17867155877434676,-0.17739268149893697,-0.1802162664279321,-0.1783153543884737,0.0013951400356220247,1
4.2066309452056885,1.0270818675249818,0.11519823074340821,0.044226015182987466,13,27,"{'max_depth': 13, 'min_samples_leaf': 27}",-0.17702758065495006,-0.18041326224031393,-0.1817579040254689,-0.1784286591136666,-0.18088338425687425,-0.17970215805825474,0.0017263962360883208,37
5.050431537628174,1.0479110237581637,0.1098015308380127,0.02496640799100925,18,2,"{'max_depth': 18, 'min_samples_leaf': 2}",-0.1763788185709936,-0.18061104464351097,-0.18062151351360006,-0.17818565971523923,-0.18075417429720875,-0.1793102421481105,0.001752392057388523,19
