mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.07213840484619141,0.005901535659389863,0.002606773376464844,0.0004939906752016255,mse,3,2,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 2}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.06600790023803711,0.012059602896438969,0.0017918586730957032,0.0004154219060319896,mse,3,4,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 4}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.06980314254760742,0.005267416993376124,0.002402591705322266,0.0004862791417879868,mse,3,6,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 6}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.05699915885925293,0.011052128576575658,0.0018933773040771484,0.00048209263934954877,mse,3,8,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 8}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.06359448432922363,0.004674324602292409,0.002200460433959961,0.00040350175021634316,mse,3,10,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 10}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.07159976959228516,0.011568373037138115,0.0022006511688232424,0.0009809725689326502,mse,3,12,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 12}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.07479534149169922,0.007863000058798449,0.0024016857147216796,0.00048631870199635494,mse,3,14,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 14}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.07559514045715332,0.0022427636830653188,0.0026045799255371093,0.0004901604560833343,mse,3,16,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 16}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.07721953392028809,0.004347995331483108,0.0019880294799804687,0.0006258874081991575,mse,3,18,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 18}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.07259516716003418,0.007865875553783961,0.0015945911407470703,0.000486338614137407,mse,3,20,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 20}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.054982566833496095,0.006417018005420823,0.001998424530029297,2.7557722619628694e-06,mse,3,22,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 22}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.05340352058410645,0.00424383729118198,0.002000093460083008,3.4877631278819545e-06,mse,3,24,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 24}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.05600671768188477,0.010037071590462346,0.0017964839935302734,0.0004009064094923489,mse,3,26,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 26}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.06140193939208984,0.008053799410389674,0.0019908905029296874,0.0010960648101738322,mse,3,28,"{'criterion': 'mse', 'max_depth': 3, 'min_samples_split': 28}",-0.239389885189432,-0.24541198839358028,-0.2370197159250441,-0.24257051436831664,-0.2394545058020196,-0.24076932193567852,0.002915125330270715,507
0.09778857231140137,0.013614026454065191,0.0015997886657714844,0.0004904709088384552,mse,6,2,"{'criterion': 'mse', 'max_depth': 6, 'min_samples_split': 2}",-0.2163525278328514,-0.2255628005199174,-0.2222960702296663,-0.21977279509953337,-0.22129047215810793,-0.2210549331680153,0.0030223587426654345,140
0.09461798667907714,0.010381976018265845,0.0019809246063232423,3.962416366424827e-05,mse,6,4,"{'criterion': 'mse', 'max_depth': 6, 'min_samples_split': 4}",-0.21635252783285136,-0.2255628005199174,-0.2222960702296663,-0.21977279509953337,-0.22129047215810793,-0.2210549331680153,0.003022358742665443,140
0.09219989776611329,0.012158344019450236,0.0024005889892578123,0.001353788487543653,mse,6,6,"{'criterion': 'mse', 'max_depth': 6, 'min_samples_split': 6}",-0.21635252783285136,-0.2252370330485911,-0.2222960702296663,-0.21978709162511928,-0.22129047215810793,-0.22099263897886717,0.0029252861233333353,130
