mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.8534043788909912,0.15790557741097921,1.0068061828613282,0.2289593380026844,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.2363210190566842,-0.24320047455076038,-0.23421138141206427,-0.2397770858810063,-0.23710325682549227,-0.23812264354520146,0.0031017581697990676,235
1.2506112098693847,0.4011864419034624,0.9412046909332276,0.4636007280761746,3,2,200,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",-0.2362368083635714,-0.24319541391969934,-0.23420143848825753,-0.23967697393290152,-0.23724044452222282,-0.23811021584533054,0.0030938218608999343,229
1.5822127342224122,0.5196715585147557,1.5106099605560304,0.2852061119412102,3,2,300,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 300}",-0.23624491347403337,-0.24314596935633337,-0.2341794848153474,-0.23958168410322134,-0.23725482553322705,-0.23808137545643251,0.00307185824444678,223
1.4166082382202148,0.565172095179353,1.1688077449798584,0.9492765538988682,3,2,400,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 400}",-0.236305823174675,-0.2431155001695214,-0.23407085661553295,-0.23952285445088947,-0.23720283090441857,-0.2380435730630075,0.003079669333613197,217
0.5818044662475585,0.10293033546641489,0.022001123428344725,0.033080119277799934,3,7,100,"{'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 100}",-0.2363210190566842,-0.24320047455076038,-0.23421138141206427,-0.2397770858810063,-0.23710325682549227,-0.23812264354520146,0.0031017581697990676,235
0.7002048015594482,0.2697006026635688,0.040999841690063474,0.061670222321843396,3,7,200,"{'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 200}",-0.2362368083635714,-0.24319541391969934,-0.23420143848825753,-0.23967697393290152,-0.23724044452222282,-0.23811021584533054,0.0030938218608999343,229
0.9828034400939941,0.1611965505608177,0.07600212097167969,0.12079267667857785,3,7,300,"{'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 300}",-0.23624491347403337,-0.24314596935633337,-0.2341794848153474,-0.23958168410322134,-0.23725482553322705,-0.23808137545643251,0.00307185824444678,223
1.23080735206604,0.5303146509910376,0.17660679817199706,0.1428520782635008,3,7,400,"{'max_depth': 3, 'min_samples_split': 7, 'n_estimators': 400}",-0.236305823174675,-0.2431155001695214,-0.23407085661553295,-0.23952285445088947,-0.23720283090441857,-0.2380435730630075,0.003079669333613197,217
0.6292236328125,0.4197763450369142,0.09338335990905762,0.17081780118594705,3,12,100,"{'max_depth': 3, 'min_samples_split': 12, 'n_estimators': 100}",-0.2363210190566842,-0.24320047455076038,-0.23421138141206427,-0.2397770858810063,-0.23710325682549227,-0.23812264354520146,0.0031017581697990676,235
1.3398138999938964,0.7091960796436976,0.2684043884277344,0.20471941462026155,3,12,200,"{'max_depth': 3, 'min_samples_split': 12, 'n_estimators': 200}",-0.2362368083635714,-0.24319541391969934,-0.23420143848825753,-0.23967697393290152,-0.23724044452222282,-0.23811021584533054,0.0030938218608999343,229
1.5832099914550781,0.6964423197245123,0.11420836448669433,0.08771721581167574,3,12,300,"{'max_depth': 3, 'min_samples_split': 12, 'n_estimators': 300}",-0.23624491347403337,-0.24314596935633337,-0.2341794848153474,-0.23958168410322134,-0.23725482553322705,-0.23808137545643251,0.00307185824444678,223
1.6378135204315185,0.5331375695036108,0.22579989433288575,0.248196720468443,3,12,400,"{'max_depth': 3, 'min_samples_split': 12, 'n_estimators': 400}",-0.236305823174675,-0.2431155001695214,-0.23407085661553295,-0.23952285445088947,-0.23720283090441857,-0.2380435730630075,0.003079669333613197,217
0.7413923740386963,0.31113671870107984,0.009000539779663086,1.7389853028116675e-06,3,17,100,"{'max_depth': 3, 'min_samples_split': 17, 'n_estimators': 100}",-0.2363210190566842,-0.24320047455076038,-0.23421138141206427,-0.2397770858810063,-0.23710325682549227,-0.23812264354520146,0.0031017581697990676,235
0.8943385124206543,0.2512914423724707,0.0283994197845459,0.03635890317828861,3,17,200,"{'max_depth': 3, 'min_samples_split': 17, 'n_estimators': 200}",-0.2362368083635714,-0.24319541391969934,-0.23420143848825753,-0.23967697393290152,-0.23724044452222282,-0.23811021584533054,0.0030938218608999343,229
1.0918062210083008,0.4608745620697886,0.11981043815612794,0.17322376769286335,3,17,300,"{'max_depth': 3, 'min_samples_split': 17, 'n_estimators': 300}",-0.23624491347403337,-0.24314596935633337,-0.2341794848153474,-0.23958168410322134,-0.23725482553322705,-0.23808137545643251,0.00307185824444678,223
1.56384220123291,0.3925140035517166,0.03233671188354492,0.017515443065369417,3,17,400,"{'max_depth': 3, 'min_samples_split': 17, 'n_estimators': 400}",-0.236305823174675,-0.2431155001695214,-0.23407085661553295,-0.23952285445088947,-0.23720283090441857,-0.2380435730630075,0.003079669333613197,217
1.045409870147705,0.4341397552607165,0.010400676727294922,0.0016236100048499537,3,22,100,"{'max_depth': 3, 'min_samples_split': 22, 'n_estimators': 100}",-0.2363210190566842,-0.24320047455076038,-0.23421138141206427,-0.2397770858810063,-0.23710325682549227,-0.23812264354520146,0.0031017581697990676,235
