mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_average,param_eta0,param_learning_rate,param_loss,param_max_iter,param_penalty,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.195005464553833,0.04086436714890733,0.0018040657043457032,0.0007525948587446435,32,0.1,invscaling,squared_loss,50,l2,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 50, 'penalty': 'l2'}",-562291960311.0465,-167363940083.90775,-396651148974.62994,-225382833344.55945,-248736498430.39212,-320085276228.9071,142765134384.34357,1603
0.14380769729614257,0.006045079184951178,0.0013991832733154298,0.0004860673340292659,32,0.1,invscaling,squared_loss,50,l1,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 50, 'penalty': 'l1'}",-266901969386.99612,-362544953044.6615,-365487480722.1713,-280867871693.8906,-513814866802.95483,-357923428330.1349,87867148315.01067,1621
0.17001018524169922,0.02674483424900236,0.0013951778411865235,0.0004893338696399735,32,0.1,invscaling,squared_loss,50,elasticnet,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 50, 'penalty': 'elasticnet'}",-354256507913.36694,-129228108857.74408,-1083624675813.8641,-107647538446.59933,-616044798464.316,-458160325899.1781,362762947572.92145,1673
0.13159708976745604,0.020834754137319642,0.0015990257263183594,0.0004887165284515053,32,0.1,invscaling,squared_loss,100,l2,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 100, 'penalty': 'l2'}",-562291960311.0465,-167363940083.90775,-396651148974.62994,-225382833344.55945,-248736498430.39212,-320085276228.9071,142765134384.34357,1603
0.1169980525970459,0.019512708373642516,0.0016007423400878906,0.00048738810971383606,32,0.1,invscaling,squared_loss,100,l1,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 100, 'penalty': 'l1'}",-266901969386.99612,-362544953044.6615,-365487480722.1713,-280867871693.8906,-513814866802.95483,-357923428330.1349,87867148315.01067,1621
0.1255925178527832,0.021848831235230837,0.0013976097106933594,0.0004897146169176214,32,0.1,invscaling,squared_loss,100,elasticnet,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 100, 'penalty': 'elasticnet'}",-354256507913.36694,-129228108857.74408,-1083624675813.8641,-107647538446.59933,-616044798464.316,-458160325899.1781,362762947572.92145,1673
0.11519956588745117,0.02664935325382906,0.00160064697265625,0.0004925378074303194,32,0.1,invscaling,squared_loss,150,l2,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 150, 'penalty': 'l2'}",-562291960311.0465,-167363940083.90775,-396651148974.62994,-225382833344.55945,-248736498430.39212,-320085276228.9071,142765134384.34357,1603
0.10460066795349121,0.010557333061792873,0.0014029502868652343,0.0004866654933789504,32,0.1,invscaling,squared_loss,150,l1,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 150, 'penalty': 'l1'}",-266901969386.99612,-362544953044.6615,-365487480722.1713,-280867871693.8906,-513814866802.95483,-357923428330.1349,87867148315.01067,1621
0.11859464645385742,0.023283298977409883,0.0017971992492675781,0.0003963040352854386,32,0.1,invscaling,squared_loss,150,elasticnet,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 150, 'penalty': 'elasticnet'}",-354256507913.36694,-129228108857.74408,-1083624675813.8641,-107647538446.59933,-616044798464.316,-458160325899.1781,362762947572.92145,1673
0.10800414085388184,0.030544407530320433,0.0013997077941894532,0.0004872139613523559,32,0.1,invscaling,squared_loss,200,l2,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 200, 'penalty': 'l2'}",-562291960311.0465,-167363940083.90775,-396651148974.62994,-225382833344.55945,-248736498430.39212,-320085276228.9071,142765134384.34357,1603
0.1057981014251709,0.015592870775533637,0.001636171340942383,0.0004538514078499381,32,0.1,invscaling,squared_loss,200,l1,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 200, 'penalty': 'l1'}",-266901969386.99612,-362544953044.6615,-365487480722.1713,-280867871693.8906,-513814866802.95483,-357923428330.1349,87867148315.01067,1621
0.12160916328430176,0.017981417388284918,0.0015944480895996095,0.0004865232313207662,32,0.1,invscaling,squared_loss,200,elasticnet,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 200, 'penalty': 'elasticnet'}",-354256507913.36694,-129228108857.74408,-1083624675813.8641,-107647538446.59933,-616044798464.316,-458160325899.1781,362762947572.92145,1673
0.1072056770324707,0.021045380896310265,0.0017973423004150391,0.0003962258159492505,32,0.1,invscaling,squared_loss,250,l2,"{'average': 32, 'eta0': 0.1, 'learning_rate': 'invscaling', 'loss': 'squared_loss', 'max_iter': 250, 'penalty': 'l2'}",-562291960311.0465,-167363940083.90775,-396651148974.62994,-225382833344.55945,-248736498430.39212,-320085276228.9071,142765134384.34357,1603
