Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
481,L20409,EditNodeWYSIWYG,freemind.view.mindmapview.EditNodeWYSIWYG,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\EditNodeWYSIWYG.java,54,1,321,2,0.0507901,2,2,2,0.0634328,,17,0,1,3,3,11,14,1,1,30,32,0.333333,0.166667,18,4,1,2,0.24,60,1,1,0,0,1,90,111,11,10,2,0,2,0,2,0,18,56,0,9,2,190,268,15,13,4,2,15,0,8,0,39,106,0,15,3,0,1,72,14,3,0,1,0,0,33,0,0,0,0,0,2,0,1,36,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,0,1,2,0,2,0,-0.023191248867095695
482,L29296,ForkMainView,freemind.view.mindmapview.ForkMainView,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\ForkMainView.java,30,1,130,2,0.0,0,0,0,0.0,,0,0,1,1,1,19,6,1,0,18,28,0.0,0.102273,9,8,0,3,0.102273,9,1,1,0,0,1,79,101,7,25,0,8,10,0,2,0,45,47,1,23,2,79,101,7,25,0,8,10,0,2,0,45,47,1,23,2,0,0,25,0,10,0,0,1,0,0,0,0,0,0,6,1,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.42747046497231495
483,L29320,IndependantMapViewCreator,freemind.view.mindmapview.IndependantMapViewCreator,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\IndependantMapViewCreator.java,50,1,161,2,0.0,0,0,0,0.0,,0,0,1,1,1,8,11,0,0,16,20,0.25,0.130435,12,4,1,3,0.11215,12,0,0,0,0,0,80,94,0,0,0,0,4,0,3,0,4,55,0,3,0,95,112,158,85,0,2,9,0,5,0,323,58,95,267,40,0,3,64,3,3,0,0,0,0,0,0,0,0,0,0,1,0,3,30,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.3550319158819473
484,L29375,LeftNodeViewLayout,freemind.view.mindmapview.LeftNodeViewLayout,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\LeftNodeViewLayout.java,36,1,89,2,0.0,0,0,0,0.0,,0,0,2,1,1,7,5,1,1,14,19,0.25,0.0612245,3,3,1,3,0.0612245,3,2,2,0,0,1,46,54,10,12,1,3,5,0,3,0,23,28,0,8,1,46,54,10,12,1,3,5,0,3,0,23,28,0,8,1,0,1,14,0,3,0,0,1,0,0,0,1,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22604253219379009
485,L29422,LinearEdgeView,freemind.view.mindmapview.LinearEdgeView,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\LinearEdgeView.java,30,1,72,2,0.0,0,0,0,0.0,,0,0,1,2,2,7,3,1,1,8,11,0.333333,0.0930233,4,3,1,2,0.0930233,4,1,1,0,0,1,39,43,7,8,0,1,3,0,2,0,15,27,0,5,0,39,43,7,8,0,1,3,0,2,0,15,27,0,5,0,0,0,9,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3098172920437043
486,L10995,MainView,freemind.view.mindmapview.MainView,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\MainView.java,47,1,379,2,0.0,0,0,0,0.0,,0,0,2,2,2,73,10,20,60,26,66,0.454545,0.167808,49,40,10,12,0.167808,49,0,0,3,3,0,243,333,7,22,7,22,40,1,21,2,40,110,1,21,2,243,333,7,22,7,22,40,1,21,2,40,110,1,21,2,0,1,73,2,16,0,0,1,0,0,0,1,0,0,10,0,0,7,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0.3838329113996941
487,L822,MapView,freemind.view.mindmapview.MapView,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\MapView.java,81,1,1651,2,0.0422174,2,16,4,0.0362826,,57,0,2,4,4,239,24,94,152,77,149,0.510638,0.191524,235,130,24,23,0.194366,276,0,0,1,1,0,992,1364,32,31,32,31,72,1,46,7,72,607,1,46,7,1144,1571,35,31,35,31,92,1,60,7,92,684,1,60,7,0,10,203,17,119,0,2,26,0,15,0,2,0,8,18,4,0,52,150,1,0,7,0,0,0,0,8,0,0,0,0,0,0,6,11,0,24,7,0,8,1,0.08752574008990952
488,L29653,MindMapLayout,freemind.view.mindmapview.MindMapLayout,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\MindMapLayout.java,31,1,125,2,0.0,0,0,0,0.0,,0,0,4,2,2,14,4,1,1,5,14,0.428571,0.218391,19,17,3,4,0.218391,19,0,0,0,0,0,68,95,2,1,2,1,9,1,6,0,9,36,1,6,0,68,95,2,1,2,1,9,1,6,0,9,36,1,6,0,0,0,20,1,5,0,0,0,0,0,0,1,0,0,2,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0.24252356503016964
489,L2906,MultipleImage,freemind.view.mindmapview.MultipleImage,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\MultipleImage.java,34,1,137,2,0.0,0,0,0,0.0,,0,0,1,2,2,15,0,3,4,0,7,0.125,0.326316,31,26,1,7,0.326316,31,0,0,0,0,0,64,104,3,4,3,4,7,0,7,0,7,43,0,7,0,64,104,3,4,3,4,7,0,7,0,7,43,0,7,0,0,0,13,1,5,0,0,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5736104153548195
490,L832,NodeMotionListenerView,freemind.view.mindmapview.NodeMotionListenerView,L27806,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\view\mindmapview\NodeMotionListenerView.java,37,1,94,2,0.0,0,0,0,0.0,,0,0,1,2,2,8,6,8,9,9,15,0.142857,0.160714,9,4,1,6,0.160714,9,0,0,0,0,0,47,58,2,1,2,1,6,0,6,2,6,27,0,6,2,47,58,2,1,2,1,6,0,6,2,6,27,0,6,2,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2683120316765411
