Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
30,L3463,Linear,simulator.util.Linear,L3828,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\util\Linear.java,13,1,48,2,0.0,0,0,0,0.0,,0,0,2,0,0,5,2,1,0,4,9,0.166667,0.235294,8,8,1,5,0.235294,8,1,1,0,0,1,26,36,6,3,3,0,5,0,5,0,15,13,0,14,4,26,36,6,3,3,0,5,0,5,0,15,13,0,14,4,0,0,14,0,4,0,0,0,0,0,0,1,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5227437174629562
31,L3480,MetDataFunction,simulator.util.MetDataFunction,L3828,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\util\MetDataFunction.java,12,1,38,2,0.0,0,0,0,0.0,,0,0,2,0,0,4,2,1,0,4,8,0.2,0.28,7,7,1,4,0.28,7,1,1,0,0,1,18,27,5,3,2,0,4,0,4,0,14,8,0,13,4,18,27,5,3,2,0,4,0,4,0,14,8,0,13,4,0,0,10,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5769139463051577
32,L143,ParameterAttributes,simulator.util.ParameterAttributes,L3828,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\util\ParameterAttributes.java,24,1,149,2,0.0,0,0,0,0.0,,0,0,1,2,2,17,1,8,15,2,17,0.9375,0.64,80,80,15,1,0.64,80,0,0,0,0,0,45,126,9,5,9,5,15,0,15,6,15,21,0,15,6,45,126,9,5,9,5,15,0,15,6,15,21,0,15,6,0,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0.7795259545915206
33,L3476,Raise,simulator.util.Raise,L3828,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\util\Raise.java,11,1,46,2,0.0,0,0,0,0.0,,0,0,2,1,1,6,2,1,0,3,7,0.2,0.21875,7,7,1,4,0.21875,7,1,1,0,0,1,25,36,6,3,3,0,4,0,4,0,14,18,0,13,4,25,36,6,3,3,0,4,0,4,0,14,18,0,13,4,0,0,12,0,4,0,0,2,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5139150377450153
34,L3467,Random,simulator.util.Random,L3828,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\util\Random.java,13,1,72,2,0.0,0,0,0,0.0,,0,0,2,3,3,13,2,1,0,4,10,0.142857,0.163636,9,7,1,6,0.163636,9,1,1,0,0,1,46,60,7,3,4,0,6,0,6,1,16,30,0,15,5,46,60,7,3,4,0,6,0,6,1,16,30,0,15,5,0,0,16,0,6,0,0,3,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.51390872057686
35,L4106,BehaviourMetDataQuery,simulator.WSA.BehaviourMetDataQuery,L4100,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\WSA\BehaviourMetDataQuery.java,32,1,109,2,0.0,0,0,0,0.0,,0,0,2,2,2,14,5,1,1,8,17,0.5,0.267606,19,10,1,1,0.267606,19,1,1,0,0,1,52,78,7,0,3,0,9,0,1,0,9,33,4,1,0,52,78,7,0,3,0,9,0,1,0,9,33,4,1,0,0,0,20,5,4,0,0,0,0,0,0,1,0,0,0,0,0,2,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0.37963715643235946
36,L4153,BehaviourQueryConsumers,simulator.WSA.BehaviourQueryConsumers,L4100,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\WSA\BehaviourQueryConsumers.java,35,1,343,2,0.0596026,1,2,2,0.0647249,,20,0,4,4,4,39,9,1,1,20,37,0.5,0.262548,68,25,1,1,0.262548,68,1,1,0,0,1,191,309,22,0,18,0,17,0,1,0,17,137,4,1,0,191,309,22,0,18,0,17,0,1,0,17,137,4,1,0,0,1,46,20,32,0,0,4,0,10,0,1,0,2,0,0,0,23,27,0,0,0,0,0,0,5,8,0,0,0,0,0,0,3,2,1,6,0,1,6,0,0.19892705738666447
37,L4269,BehaviourWaitStartStep,simulator.WSA.BehaviourWaitStartStep,L4100,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\WSA\BehaviourWaitStartStep.java,22,1,60,2,0.0,0,0,0,0.0,,0,0,1,2,2,6,4,1,1,2,4,0.333333,0.214286,9,8,1,2,0.214286,9,1,1,0,0,1,33,39,6,0,2,0,2,0,2,0,2,14,4,2,0,33,39,6,0,2,0,2,0,2,0,2,14,4,2,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.3422920512085051
38,L4113,WaterSupplierAgent,simulator.WSA.WaterSupplierAgent,L4100,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\WSA\WaterSupplierAgent.java,28,1,137,2,0.125436,1,1,1,0.1,,11,0,2,1,1,5,6,3,12,4,8,0.5,0.420455,37,31,1,1,0.393617,37,1,1,0,0,1,51,103,15,0,11,0,4,0,1,0,4,28,4,1,0,57,110,16,0,12,0,5,0,2,0,5,31,4,2,0,0,0,27,1,1,0,0,1,0,14,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0.4380599615875937
39,L477,ConsumerAgent$MatchNeighbourhood,simulator.CA.ConsumerAgent$MatchNeighbourhood,L138,L103,D:\IdeaProjects\10_water-simulator\src\main\java\simulator\CA\ConsumerAgent.java,503,2,529,3,0.0,0,0,0,0.0,,0,0,1,2,2,5,1,1,1,1,3,1.0,0.37931,11,11,2,0,0.37931,11,0,0,0,0,0,18,27,2,0,2,0,2,0,1,0,2,9,0,1,0,18,27,2,0,2,0,2,0,1,0,2,9,0,1,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.38021038982927063
