Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
78,L11815,HookDescriptorRegistration,freemind.extensions.HookDescriptorRegistration,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\HookDescriptorRegistration.java,35,1,61,2,0.0,0,0,0,0.0,,0,0,0,0,0,4,2,1,2,1,5,0.4,0.291667,7,7,2,3,0.291667,7,1,1,0,0,1,17,27,7,10,1,3,4,0,4,0,13,5,1,8,0,17,27,7,10,1,3,4,0,4,0,13,5,1,8,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.67325638663118
79,L11875,HookFactoryAdapter,freemind.extensions.HookFactoryAdapter,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\HookFactoryAdapter.java,34,1,83,2,0.0,0,0,0,0.0,,0,0,1,2,2,7,6,2,2,2,6,0.75,0.4375,21,18,3,1,0.4375,21,1,1,2,2,1,27,50,1,7,1,1,4,0,3,0,12,10,0,11,0,27,50,1,7,1,1,4,0,3,0,12,10,0,11,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4274335477631818
80,L11793,HookInstanciationMethod,freemind.extensions.HookInstanciationMethod,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\HookInstanciationMethod.java,34,1,184,2,0.0,0,0,0,0.0,,0,0,2,2,2,10,5,6,7,4,12,0.625,0.280488,23,23,5,3,0.174242,23,0,0,0,0,0,59,95,9,3,9,3,8,5,7,0,8,22,5,7,0,109,151,9,11,9,11,17,5,15,0,17,37,5,15,0,0,0,48,1,21,0,0,0,0,0,0,1,0,0,0,0,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,7,0,0,1,0,0.46015415635299606
81,L12002,ImportWizard,freemind.extensions.ImportWizard,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\ImportWizard.java,49,1,215,2,0.0,0,0,0,0.0,,0,0,1,5,5,24,2,1,1,5,10,0.8,0.375661,71,38,4,1,0.375661,71,0,0,0,0,0,118,167,4,0,4,0,5,2,4,0,5,70,2,4,0,118,167,4,0,4,0,5,2,4,0,5,70,2,4,0,0,2,11,5,23,0,0,1,0,0,0,0,0,2,0,0,0,3,5,0,0,0,0,0,0,7,9,0,0,0,0,0,0,3,3,0,4,1,0,3,0,0.2521968035057337
82,L2488,ModeControllerHookAdapter,freemind.extensions.ModeControllerHookAdapter,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\ModeControllerHookAdapter.java,34,1,49,2,0.0,0,0,0,0.0,,0,0,0,0,0,1,2,6,4,1,2,1.0,0.684211,13,10,2,0,0.684211,13,2,3,6,19,2,6,16,5,6,0,0,1,0,1,0,15,1,0,12,4,6,16,5,6,0,0,1,0,1,0,15,1,0,12,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8589908206410521
83,L12107,NodeHookAdapter,freemind.extensions.NodeHookAdapter,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\NodeHookAdapter.java,29,1,83,2,0.0,0,0,0,0.0,,0,0,2,0,0,7,5,34,51,3,10,1.0,0.458333,22,22,5,0,0.458333,22,2,3,2,48,2,26,55,8,8,3,2,7,0,4,2,21,7,0,15,6,26,55,8,8,3,2,7,0,4,2,21,7,0,15,6,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7199878012204078
84,L12167,PermanentNodeHookAdapter,freemind.extensions.PermanentNodeHookAdapter,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\PermanentNodeHookAdapter.java,43,1,238,2,0.0,0,0,0,0.0,,0,0,10,2,2,27,8,15,48,16,39,0.789474,0.494186,85,81,15,4,0.494186,85,3,5,4,16,2,87,196,9,8,1,0,23,1,18,2,43,35,1,32,8,87,196,9,8,1,0,23,1,18,2,43,35,1,32,8,0,0,23,2,8,0,0,0,0,0,0,1,0,0,1,0,0,7,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0.8242949709181839
85,L12237,PermanentNodeHookSubstituteUnknown,freemind.extensions.PermanentNodeHookSubstituteUnknown,L11598,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\extensions\PermanentNodeHookSubstituteUnknown.java,30,1,60,2,0.0,0,0,0,0.0,,0,0,1,1,1,5,2,2,2,5,9,0.2,0.115385,3,3,1,4,0.115385,3,4,6,0,0,1,23,31,11,8,2,1,4,0,4,0,46,10,1,35,8,23,31,11,8,2,1,4,0,4,0,46,10,1,35,8,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5829471729948414
86,L12278,Base64Coding,freemind.main.Base64Coding,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\Base64Coding.java,51,1,176,2,0.0,0,0,0,0.0,,0,0,2,7,3,27,0,1,2,0,2,1.0,0.198347,24,17,3,0,0.198347,24,0,0,0,0,0,97,126,1,0,1,0,2,0,2,0,2,73,0,2,0,97,126,1,0,1,0,2,0,2,0,2,73,0,2,0,0,0,11,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2609479515085734
87,L12303,EditServer,freemind.main.EditServer,L12254,L103,D:\IdeaProjects\105_freemind\src\main\java\freemind\main\EditServer.java,69,1,242,2,0.0,0,0,0,0.0,,0,0,1,3,3,16,3,2,2,4,10,1.0,0.401198,67,42,3,0,0.370166,67,0,0,0,0,0,100,160,7,1,7,1,6,0,2,0,6,59,0,2,0,114,174,7,1,7,1,7,0,3,0,7,67,0,3,0,0,3,10,4,30,0,4,3,0,0,0,0,0,0,3,0,0,7,9,2,0,0,0,0,0,7,7,0,0,0,0,0,0,0,3,0,1,2,0,1,0,0.3933630936372463
