Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
5518,L178620,AssociationsPanel$7,weka.gui.explorer.AssociationsPanel$7,L178591,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,342,75,473,8,0.257987,2,5,2,0.189394,,25,0,1,7,7,51,15,0,0,22,23,0.0,0.104839,13,0,0,2,0.104839,13,0,0,0,0,0,111,132,0,0,0,0,1,0,1,0,1,171,0,1,0,111,132,0,0,0,0,1,0,1,0,1,171,0,1,0,0,2,26,8,8,0,2,0,0,9,0,0,0,5,0,2,0,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,4,6,0,0,0.1563507449118751
5519,L178633,AssociationsPanel$8,weka.gui.explorer.AssociationsPanel$8,L178627,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,521,102,526,6,1.0,2,2,2,1.0,,6,0,1,1,1,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4138287557567052
5520,L178642,AssociationsPanel$9,weka.gui.explorer.AssociationsPanel$9,L178577,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,546,101,551,8,1.0,5,17,5,1.0,,6,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
5521,L178647,AssociationsPanel$10,weka.gui.explorer.AssociationsPanel$10,L178577,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,559,100,564,8,1.0,3,13,3,1.0,,6,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
5522,L178652,AssociationsPanel$11,weka.gui.explorer.AssociationsPanel$11,L178577,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,572,98,577,8,1.0,3,12,3,1.0,,6,0,1,1,1,1,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37977521073063425
5523,L178658,AssociationsPanel$12,weka.gui.explorer.AssociationsPanel$12,L178577,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,585,100,590,8,1.0,3,12,3,1.0,,6,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
5524,L178663,AssociationsPanel$13,weka.gui.explorer.AssociationsPanel$13,L178577,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,613,103,618,10,0.0,0,0,0,0.0,,0,0,1,1,1,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,6,6,0,0,0,0,1,0,1,0,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623221920112645
5525,L178692,AssociationsPanel$14,weka.gui.explorer.AssociationsPanel$14,L178683,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AssociationsPanel.java,808,104,814,8,1.0,2,4,2,1.0,,7,0,1,1,1,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,1,7,0,1,0,7,7,0,0,0,0,1,0,1,0,1,7,0,1,0,0,1,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3990084135839776
5526,L178785,AttributeSelectionPanel$2,weka.gui.explorer.AttributeSelectionPanel$2,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,202,92,209,6,1.0,2,4,2,1.0,,8,0,1,3,3,4,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,8,0,1,0,8,8,0,0,0,0,1,0,1,0,1,8,0,1,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23204093252011634
5527,L178791,AttributeSelectionPanel$3,weka.gui.explorer.AttributeSelectionPanel$3,L178781,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\gui\explorer\AttributeSelectionPanel.java,215,65,285,10,0.042292,1,1,1,0.15493,,11,0,1,9,9,31,9,0,0,10,11,0.0,0.0434783,3,0,0,2,0.0434783,3,0,0,0,0,0,66,71,0,0,0,0,1,0,1,0,1,65,0,1,0,66,71,0,0,0,0,1,0,1,0,1,65,0,1,0,0,0,16,1,0,0,0,0,0,6,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.06732600970012793
