Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
1943,L39437,AdditiveRegression$__CLR4_4_1v7zv7zkpaqmyrq,weka.classifiers.meta.AdditiveRegression$__CLR4_4_1v7zv7zkpaqmyrq,L39435,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\AdditiveRegression.java,106,36,106,2818,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1944,L39540,AttributeSelectedClassifier$__CLR4_4_1vcovcokpaqmysb,weka.classifiers.meta.AttributeSelectedClassifier$__CLR4_4_1vcovcokpaqmysb,L39538,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\AttributeSelectedClassifier.java,119,40,119,2822,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1945,L39667,Bagging$__CLR4_4_1vj8vj8kpaqmysx,weka.classifiers.meta.Bagging$__CLR4_4_1vj8vj8kpaqmysx,L39665,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\Bagging.java,131,63,131,2845,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1946,L39781,ClassificationViaRegression$__CLR4_4_1vz9vz9kpaqmyud,weka.classifiers.meta.ClassificationViaRegression$__CLR4_4_1vz9vz9kpaqmyud,L39779,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\ClassificationViaRegression.java,104,43,104,2825,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1947,L39844,CostSensitiveClassifier$__CLR4_4_1w1jw1jkpaqmyv2,weka.classifiers.meta.CostSensitiveClassifier$__CLR4_4_1w1jw1jkpaqmyv2,L39842,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\CostSensitiveClassifier.java,105,39,105,2821,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1948,L39972,CVParameterSelection$__CLR4_4_1vqevqekpaqmytz,weka.classifiers.meta.CVParameterSelection$__CLR4_4_1vqevqekpaqmytz,L39969,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\CVParameterSelection.java,119,67,119,2849,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,3,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.5087194460652761
1949,L39999,CVParameterSelection$CVParameter,weka.classifiers.meta.CVParameterSelection$CVParameter,L39969,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\CVParameterSelection.java,128,3,247,4,0.0,0,0,0,0.0,,0,0,1,7,7,32,3,1,2,1,4,1.0,0.264151,28,28,4,0,0.264151,28,1,1,0,0,1,78,120,8,1,8,1,3,0,3,0,3,100,0,3,0,78,120,8,1,8,1,3,0,3,0,3,100,0,3,0,0,0,10,16,9,0,0,0,0,0,0,0,0,5,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,1,6,1,1,0,0.28904567073928755
1950,L40133,FilteredClassifier$__CLR4_4_1w72w72kpaqmyvi,weka.classifiers.meta.FilteredClassifier$__CLR4_4_1w72w72kpaqmyvi,L40131,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\FilteredClassifier.java,107,44,107,2826,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1951,L40229,LogitBoost$__CLR4_4_1wbewbekpaqmywp,weka.classifiers.meta.LogitBoost$__CLR4_4_1wbewbekpaqmywp,L40227,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\LogitBoost.java,132,80,132,2862,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,2,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.505075402502086
1952,L40423,MultiClassClassifier$__CLR4_4_1wprwprkpaqmyy9,weka.classifiers.meta.MultiClassClassifier$__CLR4_4_1wprwprkpaqmyy9,L40421,L103,D:\IdeaProjects\107_weka\target\clover\src-instrumented\weka\classifiers\meta\MultiClassClassifier.java,105,29,105,2811,0.0,0,0,0,0.0,,0,0,1,0,0,1,0,6,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1,1,2,0,2,0,1,2,1,0,1,2,2,1,0,1,1,2,0,2,0,2,2,2,0,2,7,2,2,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0.5168055008694591
