Row,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,PredictedTsDDTestability
322,L9129,DefaultDataHandleService,org.scijava.io.handle.DefaultDataHandleService,L8527,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\handle\DefaultDataHandleService.java,42,1,48,2,0.0,0,0,0,0.0,,0,0,0,0,0,0,7,0,0,0,0,1.0,0.5,6,5,1,0,0.5,6,7,24,0,0,2,6,7,5,10,0,0,0,0,0,0,30,0,0,30,3,6,7,5,10,0,0,0,0,0,0,30,0,0,30,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9661242582974511
323,L9140,DummyHandle,org.scijava.io.handle.DummyHandle,L8527,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\handle\DummyHandle.java,43,1,138,2,0.0,0,0,0,0.0,,0,0,5,1,1,15,5,0,0,2,15,0.428571,0.148148,12,11,6,8,0.148148,12,6,18,0,0,1,69,96,11,9,2,1,13,0,13,1,79,23,2,79,7,69,96,11,9,2,1,13,0,13,1,79,23,2,79,7,0,0,35,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0.6875012441106876
324,L9188,FileHandle,org.scijava.io.handle.FileHandle,L8527,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\handle\FileHandle.java,47,1,314,2,0.0,0,0,0,0.0,,0,0,1,2,2,50,6,0,0,3,39,0.235294,0.223214,50,48,8,26,0.223214,50,6,18,0,0,1,174,268,12,11,3,3,36,0,33,2,85,62,2,82,8,174,268,12,11,3,3,36,0,33,2,85,62,2,82,8,0,0,78,2,9,0,0,7,0,0,0,0,0,0,0,0,0,2,67,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0.7260800526314508
325,L9111,ReadBufferDataHandle,org.scijava.io.handle.ReadBufferDataHandle,L8527,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\handle\ReadBufferDataHandle.java,47,1,307,2,0.0,0,0,0,0.0,,0,0,4,2,2,27,5,1,2,10,25,0.333333,0.335052,65,50,4,8,0.366812,84,7,19,0,0,1,129,225,21,9,10,0,15,0,11,1,90,70,2,84,7,145,261,22,9,11,0,18,0,14,1,93,78,2,87,7,0,0,33,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0.6159983502974674
326,L9122,WriteBufferDataHandle,org.scijava.io.handle.WriteBufferDataHandle,L8527,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\handle\WriteBufferDataHandle.java,42,1,203,2,0.0,0,0,0,0.0,,0,0,5,2,2,28,4,1,1,7,22,0.230769,0.216216,32,25,3,10,0.216216,32,7,19,0,0,1,116,162,16,9,5,0,15,0,12,1,89,52,2,84,7,116,162,16,9,5,0,15,0,12,1,89,52,2,84,7,0,0,34,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0.6651667108717451
327,L9700,AbstractLocation,org.scijava.io.location.AbstractLocation,L9683,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\location\AbstractLocation.java,40,1,68,2,0.0,0,0,0,0.0,,0,0,1,1,1,9,1,6,0,3,6,0.25,0.16129,5,5,1,3,0.16129,5,1,1,6,6,1,26,29,0,2,0,0,3,0,3,0,6,20,0,6,0,26,29,0,2,0,0,3,0,3,0,6,20,0,6,0,0,0,9,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44050054530683497
328,L9718,AbstractLocationResolver,org.scijava.io.location.AbstractLocationResolver,L9683,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\location\AbstractLocationResolver.java,41,1,69,2,0.0,0,0,0,0.0,,0,0,1,1,1,5,2,1,1,0,3,0.5,0.275862,8,8,2,2,0.275862,8,5,18,1,1,2,21,29,4,7,1,1,3,0,3,0,17,7,0,17,3,21,29,4,7,1,1,3,0,3,0,17,7,0,17,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6400597992246105
329,L9739,AbstractRemoteLocation,org.scijava.io.location.AbstractRemoteLocation,L9683,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\location\AbstractRemoteLocation.java,37,1,55,2,0.0,0,0,0,0.0,,0,0,0,0,0,2,2,0,0,0,2,0.333333,0.380952,8,8,1,2,0.380952,8,2,3,0,0,2,13,19,1,3,1,1,2,0,2,1,8,2,0,8,1,13,19,1,3,1,1,2,0,2,1,8,2,0,8,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6244973836045846
330,L8681,BytesLocation,org.scijava.io.location.BytesLocation,L9683,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\location\BytesLocation.java,42,1,183,2,0.0,0,0,0,0.0,,0,0,2,0,0,15,5,1,1,5,19,0.866667,0.561538,73,73,13,2,0.561538,73,2,2,0,0,1,57,142,2,3,2,2,14,0,14,0,19,20,0,19,0,57,142,2,3,2,2,14,0,14,0,19,20,0,19,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.781963580790516
331,L9835,DefaultLocationService,org.scijava.io.location.DefaultLocationService,L9683,L103,D:\IdeaProjects\scijava-common\src\main\java\org\scijava\io\location\DefaultLocationService.java,43,1,49,2,0.0,0,0,0,0.0,,0,0,0,0,0,0,6,0,0,0,0,1.0,0.5,6,5,1,0,0.5,6,7,25,0,0,2,6,7,9,14,0,0,0,0,0,0,36,0,0,33,3,6,7,9,14,0,0,0,0,0,0,36,0,0,33,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0202007850235353
